subject_number,m3_s2_corr,m3_s2_gev,m3_s2_gfp,m3_s2_duration,m3_s2_coverage,m3_s2_occurrence,m1_s2_corr,m1_s2_gev,m1_s2_gfp,m1_s2_duration,m1_s2_coverage,m1_s2_occurrence,m2_s2_corr,m2_s2_gev,m2_s2_gfp,m2_s2_duration,m2_s2_coverage,m2_s2_occurrence,m4_s2_corr,m4_s2_gev,m4_s2_gfp,m4_s2_duration,m4_s2_coverage,m4_s2_occurrence,m5_s2_corr,m5_s2_gev,m5_s2_gfp,m5_s2_duration,m5_s2_coverage,m5_s2_occurrence
S1,0.686929,0.223292,1.306617,107.463795,30.596097,2.390539,0.60012,0.055111,1.112849,83.905741,14.248169,1.516804,0.632551,0.092059,1.204448,86.615488,18.246379,1.831348,0.618951,0.092405,1.163118,96.838332,21.182128,1.901247,0.624728,0.067298,1.145797,84.67606,15.727227,1.621652
S2,0.703157,0.151403,1.461604,114.377893,27.988772,2.02807,0.638433,0.093639,1.525338,98.118919,17.911579,1.522807,0.661133,0.154961,1.622462,103.456647,22.284912,1.768421,0.628138,0.058732,1.34535,108.078121,16.328421,1.305263,0.628341,0.080553,1.56879,108.343635,15.486316,1.214035
S3,0.728538,0.252401,1.329322,101.546098,30.444525,2.534943,0.62716,0.058194,1.048427,84.100714,15.615809,1.645612,0.668492,0.1017,1.155932,86.719199,19.447635,1.960729,0.64299,0.046532,1.055768,79.776792,12.601888,1.421529,0.657523,0.11958,1.169632,93.06863,21.890143,2.044761
S4,0.72184,0.252103,1.349854,107.353874,34.651402,2.669446,0.621412,0.04019,1.078815,80.943923,12.222349,1.356135,0.647238,0.083118,1.212643,87.586099,17.621196,1.755839,0.668742,0.11218,1.344791,93.494962,18.623308,1.648775,0.661653,0.079827,1.20277,85.646367,16.881745,1.720151
S5,0.68351,0.198801,1.287441,108.863925,31.063945,2.430409,0.617055,0.042273,1.120008,79.586947,11.611618,1.298231,0.597644,0.069984,1.103598,87.229641,20.155788,2.022825,0.636523,0.094112,1.265986,97.074437,18.401667,1.645432,0.64551,0.091016,1.252809,96.115036,18.766983,1.660528
S6,0.699282,0.300789,1.486124,116.582681,38.709202,2.697762,0.634828,0.064024,1.192656,86.374569,16.814577,1.724799,0.629904,0.072267,1.203197,87.312555,18.798832,1.886959,0.619585,0.069559,1.325665,89.586251,14.909927,1.459445,0.589668,0.02976,1.14443,80.120103,10.767462,1.201462
S7,0.702733,0.1727,1.393505,110.485516,28.328836,2.155678,0.624165,0.054853,1.255067,89.727313,13.309479,1.290474,0.616094,0.065011,1.213966,89.850093,16.990263,1.635089,0.659224,0.154639,1.477274,111.070277,24.862154,1.862389,0.643025,0.07039,1.267479,96.623887,16.509268,1.495777
S8,0.693586,0.244447,1.316505,104.774109,31.94129,2.591881,0.632702,0.083968,1.13597,85.243201,19.229425,2.002155,0.611576,0.052057,1.104236,78.004669,13.696197,1.587163,0.625555,0.080844,1.153088,88.502829,17.63935,1.740055,0.618277,0.073145,1.13353,88.247737,17.493739,1.732774
S9,0.714092,0.174669,1.434808,109.526682,28.559579,2.216692,0.63297,0.07379,1.268872,93.926949,19.544076,1.801956,0.657636,0.173641,1.516428,101.214181,26.26852,2.123734,0.632911,0.057118,1.356224,86.021421,13.446027,1.358618,0.642189,0.056347,1.379107,85.577383,12.181797,1.26566
S10,0.685558,0.202636,1.287797,97.301797,29.543725,2.5787,0.615602,0.058335,1.125395,79.573751,14.077164,1.599357,0.616533,0.068825,1.138537,79.166917,16.416312,1.838909,0.62476,0.095875,1.233495,85.481376,18.575092,1.867091,0.63986,0.10002,1.175865,84.437457,21.387707,2.170053
S11,0.723375,0.300958,2.051984,128.119133,36.678723,2.356677,0.643784,0.077744,1.681815,97.239264,18.411984,1.616211,0.66539,0.143399,1.817602,107.460175,25.261299,1.922365,0.629723,0.021051,1.368137,92.333173,9.036539,0.875744,0.621671,0.033667,1.490446,90.36381,10.611454,1.018141
S12,0.699406,0.233482,1.550289,107.217276,32.418675,2.50753,0.61399,0.08009,1.379107,84.866937,17.364458,1.762048,0.603315,0.049229,1.253847,81.317109,14.975904,1.588855,0.639645,0.088253,1.378798,98.794963,20.575301,1.792169,0.62354,0.062161,1.339651,82.589856,14.665663,1.536145
S13,0.68755,0.237166,1.335884,107.407123,32.262265,2.512527,0.6215,0.078922,1.181709,88.312876,17.911842,1.804773,0.596305,0.046968,1.142096,81.770592,12.283781,1.309345,0.642417,0.091177,1.192178,93.150969,18.795119,1.733998,0.614682,0.075585,1.136751,91.054933,18.746992,1.804773
S14,0.725054,0.263659,1.423882,100.750321,30.912228,2.615907,0.649578,0.073854,1.148497,77.509528,17.003395,1.954973,0.660937,0.075099,1.13845,79.450072,17.148105,1.899315,0.666589,0.09214,1.206088,83.206396,18.52563,1.982802,0.654668,0.073257,1.159824,80.113392,16.410642,1.850615
S15,0.731485,0.252951,1.384359,103.195587,32.58756,2.61542,0.650409,0.054524,1.227266,75.075216,11.786445,1.414317,0.672555,0.064334,1.170029,80.583692,15.021606,1.698601,0.659853,0.1055,1.258176,90.525806,20.997271,1.918922,0.679837,0.092725,1.196993,88.148651,19.607118,1.911815
S16,0.712487,0.221812,1.668325,120.932122,33.422139,2.298211,0.628359,0.067062,1.566497,85.699263,14.834441,1.493105,0.646973,0.125598,1.723683,103.797417,20.394063,1.62485,0.62788,0.054176,1.391309,95.014166,15.894253,1.463829,0.642716,0.059938,1.463593,98.055522,15.455104,1.302808
S17,0.727329,0.265784,1.579623,101.536575,33.72577,2.757462,0.639041,0.051185,1.272742,77.640613,13.280414,1.531098,0.657635,0.109101,1.352479,84.262797,22.579974,2.356107,0.652655,0.066742,1.359066,78.185067,14.329885,1.575693,0.642144,0.057348,1.236487,86.408277,16.083958,1.635153
