subject_number,m3_s1_corr,m3_s1_gev,m3_s1_gfp,m3_s1_duration,m3_s1_coverage,m3_s1_occurrence,m1_s1_corr,m1_s1_gev,m1_s1_gfp,m1_s1_duration,m1_s1_coverage,m1_s1_occurrence,m2_s1_corr,m2_s1_gev,m2_s1_gfp,m2_s1_duration,m2_s1_coverage,m2_s1_occurrence,m4_s1_corr,m4_s1_gev,m4_s1_gfp,m4_s1_duration,m4_s1_coverage,m4_s1_occurrence,m5_s1_corr,m5_s1_gev,m5_s1_gfp,m5_s1_duration,m5_s1_coverage,m5_s1_occurrence
S1,0.683335,0.221333,1.303417,108.783434,31.201702,2.421884,0.577476,0.040032,1.059309,79.926678,12.778587,1.434931,0.620261,0.08502,1.153548,90.513969,18.901893,1.826912,0.636801,0.109894,1.217643,92.363456,20.906596,1.931907,0.621064,0.068748,1.163077,91.015832,16.211222,1.560925
S2,0.715339,0.205418,1.599858,114.102488,26.352387,1.915763,0.604471,0.061191,1.288289,89.097481,15.6752,1.461656,0.670583,0.133071,1.481366,105.319781,22.356247,1.766759,0.649494,0.073572,1.282407,99.328337,19.742294,1.695805,0.632771,0.075166,1.452347,99.626059,15.873872,1.369416
S3,0.730002,0.306967,1.392333,100.247443,33.342646,2.772966,0.646782,0.047141,1.026136,77.819793,13.972396,1.613489,0.66547,0.087349,1.111222,87.602409,19.409365,1.93479,0.647692,0.049245,1.066249,77.571521,13.142602,1.508717,0.663595,0.103034,1.173756,88.014664,20.132991,1.997653
S4,0.724736,0.283425,1.373474,111.544794,36.767781,2.74985,0.643165,0.056116,1.109479,82.250689,15.158546,1.647045,0.634674,0.059643,1.15696,81.446521,14.791899,1.618401,0.664755,0.095867,1.279536,91.080349,17.229527,1.647045,0.648512,0.07151,1.184906,85.775687,16.052247,1.632723
S5,0.674565,0.195853,1.220055,105.348869,30.115095,2.416699,0.585588,0.037632,1.010413,82.323838,12.225478,1.351841,0.619017,0.090169,1.102602,92.239505,21.87415,2.099508,0.618559,0.103401,1.205226,92.969218,19.832039,1.86539,0.617465,0.069046,1.14684,92.218142,15.953237,1.525541
S6,0.706947,0.292356,1.489663,115.465501,37.280433,2.67995,0.631139,0.057299,1.175941,87.584055,16.210784,1.616709,0.647978,0.075483,1.152838,90.730641,20.10545,1.91529,0.622692,0.083971,1.371354,90.979083,16.271957,1.543884,0.608018,0.032705,1.166473,77.295942,10.131376,1.187043
S7,0.70897,0.179685,1.421233,108.054024,27.100901,2.072219,0.618822,0.066794,1.30551,87.927632,13.68095,1.333678,0.63259,0.070451,1.283775,93.253545,16.566282,1.541616,0.662442,0.140426,1.385489,108.470874,26.036827,2.036368,0.637858,0.066475,1.293915,93.177041,16.61504,1.505765
S8,0.708522,0.244626,1.381064,104.789264,31.768106,2.532406,0.650553,0.102601,1.215109,90.474041,21.269351,2.053109,0.629679,0.056187,1.163145,81.843553,13.566257,1.452199,0.64597,0.07982,1.236996,91.823857,16.699574,1.580965,0.628089,0.065365,1.15603,87.818767,16.696712,1.659656
S9,0.709632,0.230603,1.413183,102.145633,33.02385,2.633447,0.644767,0.081056,1.245865,85.712383,17.9046,1.817149,0.666144,0.118092,1.329569,88.521693,20.366269,1.987507,0.637634,0.055086,1.304436,84.254177,12.220329,1.256388,0.632346,0.072352,1.292863,86.858382,16.484952,1.639693
S10,0.676989,0.196067,1.29668,100.865811,28.857353,2.409962,0.604461,0.046116,1.077495,80.946888,12.362187,1.342794,0.602398,0.055645,1.104798,81.313733,14.349522,1.604286,0.638535,0.117498,1.243333,90.542407,21.552553,2.063663,0.636886,0.108814,1.175439,92.034427,22.878385,2.17674
S11,0.719312,0.31524,1.853564,128.133301,35.784119,2.245211,0.64543,0.060221,1.469325,91.244253,16.532143,1.563122,0.67581,0.179893,1.737718,102.405472,26.791906,2.081794,0.627577,0.014756,1.139623,80.83641,7.92929,0.881032,0.64194,0.026283,1.091146,88.072282,12.962542,1.264708
S12,0.68208,0.2071,1.478347,99.719744,29.076749,2.482017,0.607663,0.093681,1.308377,88.462889,19.496463,1.932109,0.603418,0.052325,1.17381,84.150892,15.813566,1.642292,0.627632,0.062983,1.153365,89.940685,18.259913,1.790916,0.62216,0.077388,1.248682,87.282117,17.353308,1.738898
S13,0.697086,0.264477,1.334938,105.814311,33.073525,2.602774,0.621729,0.077701,1.113026,86.352334,18.140634,1.864149,0.582273,0.044979,1.061831,83.6805,12.695912,1.357663,0.634528,0.081588,1.131468,90.552415,18.168772,1.758631,0.615805,0.0739,1.115044,94.183844,17.921157,1.653113
