subject_number,m2_s1_corr,m2_s1_gev,m2_s1_gfp,m2_s1_duration,m2_s1_coverage,m2_s1_occurrence,m1_s1_corr,m1_s1_gev,m1_s1_gfp,m1_s1_duration,m1_s1_coverage,m1_s1_occurrence,m3_s1_corr,m3_s1_gev,m3_s1_gfp,m3_s1_duration,m3_s1_coverage,m3_s1_occurrence,m5_s1_corr,m5_s1_gev,m5_s1_gfp,m5_s1_duration,m5_s1_coverage,m5_s1_occurrence,m4_s1_corr,m4_s1_gev,m4_s1_gfp,m4_s1_duration,m4_s1_coverage,m4_s1_occurrence
S1,0.589091,0.048142,1.042639,89.566507,14.061385,1.320485,0.601176,0.047953,1.05767,81.093091,13.347609,1.498929,0.697196,0.253774,1.261107,122.61994,35.8601,2.426838,0.640534,0.06558,1.120212,88.449048,14.575303,1.498929,0.659451,0.131182,1.202653,96.004115,22.155603,2.034261
S2,0.683182,0.195377,1.529861,113.557534,28.633803,2.112676,0.638217,0.108076,1.50881,90.981527,16.464789,1.443662,0.731745,0.15705,1.397746,115.611893,26.690141,1.901408,0.642286,0.03443,1.207773,90.044356,11.014085,1.056338,0.629907,0.066791,1.302233,93.043123,17.197183,1.619718
S3,0.667776,0.089406,1.005321,90.356706,22.299131,2.171553,0.687898,0.081574,1.092705,75.966277,16.273073,1.96797,0.732982,0.266743,1.256842,98.786566,31.338219,2.748371,0.690123,0.098041,1.160813,81.055652,16.38165,1.764387,0.655434,0.063748,1.083874,77.312024,13.707926,1.594734
S4,0.653713,0.048688,1.085193,76.113228,11.792054,1.408848,0.658913,0.080702,1.144494,82.943864,17.526064,1.937165,0.760348,0.335002,1.338587,114.806143,38.884193,2.817695,0.664473,0.062308,1.066481,80.539985,14.370245,1.549732,0.651912,0.081824,1.135416,84.561049,17.427444,1.761059
S5,0.627738,0.102925,1.066161,85.883114,26.027193,2.614672,0.583959,0.027301,0.914162,73.542769,9.920813,1.232631,0.649451,0.21285,1.189387,101.733113,36.829523,3.025549,0.615327,0.059459,1.333231,84.126795,9.457642,0.971164,0.610032,0.083714,1.15805,87.548567,17.764829,1.867623
S6,0.642325,0.110579,1.249122,103.609051,25.78412,2.119243,0.628122,0.054739,1.121928,79.714007,16.798531,1.801356,0.707498,0.256973,1.47247,110.603353,33.173213,2.437129,0.597553,0.058535,1.353764,85.402332,11.924272,1.271546,0.607769,0.040841,1.180588,72.029077,12.319864,1.554111
S7,0.630911,0.043996,1.114949,79.663962,11.939673,1.361542,0.630025,0.046321,1.089563,94.561503,12.428432,1.117162,0.718679,0.231207,1.399135,102.123884,27.984918,2.304147,0.659246,0.0959,1.192001,99.243777,22.28739,1.745566,0.657141,0.136991,1.238658,108.973632,25.359587,1.920123
S8,0.634071,0.067977,1.059598,95.503238,16.337397,1.506235,0.678074,0.083483,1.16047,88.985761,15.889029,1.541264,0.71935,0.268414,1.254746,110.812107,36.247723,2.592126,0.684559,0.101345,1.191405,94.710268,17.640465,1.611321,0.660849,0.05958,1.090786,79.301788,13.885386,1.471206
S9,0.666038,0.13605,1.317568,89.927843,23.394176,2.264177,0.686243,0.10097,1.268106,92.230941,19.060889,1.776508,0.731439,0.259431,1.418308,107.062356,32.896754,2.577679,0.623563,0.045842,1.134757,74.381013,14.058799,1.706841,0.643201,0.042873,1.252473,78.735272,10.589383,1.184339
S10,0.601789,0.059217,1.126298,83.50813,14.144551,1.552795,0.583013,0.026774,0.935819,78.176856,10.897798,1.235178,0.667485,0.243275,1.342027,101.142418,33.526256,2.717391,0.615493,0.120149,1.178585,104.874355,26.284585,2.117448,0.596589,0.068649,1.182613,85.339326,15.14681,1.552795
S11,0.637396,0.123562,1.184507,86.015861,24.184416,2.42653,0.625841,0.04703,1.096406,67.740495,11.768671,1.583985,0.72447,0.280133,1.371772,111.33402,31.369641,2.392828,0.665252,0.104974,1.1788,91.388164,20.032354,1.887301,0.653165,0.052236,1.15215,80.586558,12.644918,1.415476
S12,0.59546,0.075251,1.171353,79.857608,17.405467,1.91191,0.627471,0.129838,1.211985,85.25156,22.942926,2.372185,0.704809,0.18043,1.259266,91.685959,25.477978,2.442997,0.634168,0.07539,1.068924,87.037816,19.473162,1.982722,0.651827,0.069871,1.149404,81.080106,14.700467,1.593259
S13,0.605169,0.046292,1.107687,84.742425,11.657559,1.120919,0.621048,0.067488,1.124509,83.409991,17.276166,1.821494,0.70015,0.272618,1.407869,108.487791,32.870954,2.662183,0.618206,0.085446,1.151023,93.68872,18.901499,1.716407,0.663578,0.088821,1.180543,86.156032,19.293821,1.891551
S14,0.660125,0.112999,1.155684,79.975305,21.920265,2.379639,0.660461,0.097987,1.114355,85.562541,20.582149,2.138226,0.730238,0.247676,1.294658,99.67105,32.335495,2.793489,0.662947,0.078041,1.187691,81.844265,14.319216,1.551938,0.665674,0.051074,1.105892,65.10714,10.842875,1.551938
S15,0.641987,0.067229,1.053628,82.504441,18.232662,1.887584,0.676509,0.058426,1.215335,72.424946,12.178412,1.538031,0.736794,0.313928,1.458202,114.8269,36.017897,2.72651,0.673664,0.094668,1.201172,93.368865,19.88255,1.852629,0.682952,0.06571,1.167206,79.685504,13.688479,1.503076
S16,0.666204,0.108795,1.507704,108.306831,17.106549,1.291719,0.642009,0.060877,1.157715,96.766946,17.69306,1.640832,0.729961,0.265653,1.696001,107.538215,28.557464,2.129591,0.596413,0.04291,1.175054,92.494271,16.436252,1.501187,0.656689,0.069028,1.236942,111.693772,20.206675,1.501187
S17,0.697976,0.121362,1.448833,92.947115,19.137041,1.720183,0.656292,0.073061,1.276719,84.505302,14.893922,1.612672,0.731611,0.255181,1.47809,109.447843,35.9375,2.616112,0.664213,0.071999,1.319595,81.192758,15.825688,1.648509,0.697596,0.049433,1.150683,85.158846,14.205849,1.469323
S18,0.622607,0.072331,1.055859,90.427628,18.297456,1.817165,0.609931,0.044406,1.065706,83.516817,10.581493,1.153201,0.723125,0.222975,1.261244,104.235261,29.270338,2.271457,0.661349,0.101218,1.152172,97.251482,19.527537,1.747274,0.678181,0.130678,1.212598,109.753042,22.323176,1.712329
S19,0.579615,0.07751,1.591189,98.696146,15.721969,1.37912,0.656414,0.121034,1.579559,110.721676,25.044821,1.89629,0.691863,0.180333,1.661974,109.689179,31.11295,2.41346,0.607311,0.063346,1.445176,102.532387,16.383947,1.448076,0.636609,0.064804,1.78267,104.753514,11.736312,0.965384
S20,0.662427,0.067022,1.150972,95.053881,19.743731,1.894461,0.694625,0.048142,1.187287,83.694122,12.675668,1.37779,0.75364,0.241003,1.532396,102.777717,29.346928,2.514467,0.702548,0.187231,1.567796,94.882944,24.827776,2.238909,0.666261,0.049038,1.221448,77.426203,13.405897,1.584459
S21,0.621979,0.023765,1.185316,90.258306,11.208455,1.147267,0.618727,0.035745,1.190815,92.584486,16.478932,1.633987,0.768678,0.554873,2.142578,137.183182,45.362258,2.364066,0.626138,0.026162,1.14654,84.81528,12.932833,1.425393,0.600685,0.037289,1.228616,91.984892,14.017522,1.28633
S22,0.622314,0.076474,1.121922,83.906201,18.775568,1.974891,0.647503,0.10556,1.141078,89.956823,22.513754,2.257018,0.688581,0.267541,1.380396,105.961055,33.135844,2.574411,0.630838,0.035795,1.124553,74.288472,8.562562,1.022711,0.612295,0.058897,1.074511,83.62001,17.012273,1.833827
S23,0.620673,0.100999,1.111675,82.688374,23.015214,2.42047,0.62431,0.063233,1.093814,84.60811,14.757953,1.590595,0.69727,0.227642,1.278945,94.815441,29.349931,2.662517,0.634529,0.074371,1.109133,81.345505,16.320885,1.763485,0.633021,0.074695,1.125705,92.057208,16.556017,1.556017
S24,0.591364,0.04877,1.410165,90.525064,12.84058,1.195652,0.638877,0.055056,1.467031,88.95373,13.623188,1.34058,0.692159,0.197287,1.590483,130.126382,34.028986,2.246377,0.651862,0.104158,1.705387,97.428339,16.637681,1.521739,0.675934,0.121784,1.624125,100.37231,22.869565,1.73913
S25,0.60691,0.049841,1.19852,74.245653,13.65266,1.613366,0.620872,0.071731,1.159526,95.425797,19.21698,1.685071,0.675891,0.192211,1.358545,108.77971,30.073139,2.437975,0.639742,0.076271,1.266855,92.822049,17.496056,1.649218,0.635771,0.116625,1.436432,101.143659,19.561164,1.577513
S26,0.648732,0.103403,1.333352,81.867833,16.156841,1.703281,0.673302,0.109629,1.206289,81.740931,21.885428,2.398498,0.704427,0.255057,1.349669,108.986087,35.080645,2.711346,0.647659,0.038565,1.139156,73.093501,10.219689,1.25139,0.664349,0.070826,1.203815,78.997594,16.657397,1.842325
S27,0.66115,0.077432,1.200268,92.443859,18.911134,1.800374,0.653179,0.076935,1.221913,89.605244,17.009938,1.620337,0.690446,0.102982,1.175079,104.629399,21.330837,1.620337,0.650776,0.082,1.191838,93.960976,18.954343,1.692352,0.687103,0.181954,1.497819,118.22288,23.793749,1.692352
S28,0.629025,0.04708,1.000891,85.502785,12.243767,1.281163,0.665988,0.060916,1.030519,74.395995,14.432133,1.765928,0.749435,0.230132,1.15673,109.879792,32.770083,2.423823,0.686463,0.085235,1.101661,94.870717,16.440443,1.48892,0.701367,0.151381,1.171803,110.407808,24.113573,1.765928
S29,0.573339,0.020476,1.003588,76.964158,7.862239,0.92618,0.647096,0.067588,1.084046,103.993476,15.573546,1.303513,0.714318,0.333668,1.306864,134.712007,41.534029,2.572722,0.664153,0.084915,1.11965,90.67327,19.346872,1.886663,0.63242,0.068501,1.10765,87.817412,15.683315,1.612239
S30,0.642009,0.05854,0.965663,73.990018,15.15065,1.892046,0.638899,0.062201,1.012811,75.97088,14.807939,1.713551,0.725656,0.270383,1.247672,104.794939,32.443239,2.641725,0.677758,0.083806,1.039101,92.594847,18.720548,1.74925,0.701484,0.114616,1.132759,97.347484,18.877624,1.570755
S31,0.632748,0.044895,1.007532,85.647866,13.461538,1.363375,0.653393,0.077567,1.106919,95.990353,16.059127,1.506889,0.732868,0.260824,1.34089,105.064661,30.711825,2.367968,0.668768,0.098693,1.121313,106.365033,21.096441,1.614524,0.692573,0.097911,1.170171,106.366923,18.671068,1.506889
S32,0.669703,0.092673,1.087557,88.458687,19.483947,1.795924,0.634064,0.062128,1.093103,73.147116,13.135904,1.649318,0.705293,0.178615,1.126033,103.71765,30.508723,2.419,0.640617,0.085025,1.046596,95.258887,21.814983,1.869227,0.680324,0.092396,1.201236,89.615254,15.056443,1.466061
S33,0.622261,0.082205,1.448766,88.93317,15.469774,1.420248,0.557468,0.02271,1.082499,81.547165,10.866715,1.165331,0.707233,0.304108,1.573207,123.569599,40.553532,2.512746,0.639373,0.083434,1.427389,92.609921,18.674436,1.784414,0.606835,0.038593,1.171554,84.474309,14.435543,1.456664
S34,0.651154,0.06006,1.088484,106.199025,16.067447,1.289019,0.635961,0.065765,1.1751,104.685368,16.792085,1.393534,0.728063,0.393446,1.42142,160.080011,43.380713,2.264493,0.610037,0.037753,1.056268,97.434854,11.817168,1.079989,0.64585,0.046812,1.15531,91.303477,11.942586,1.184504
S35,0.615026,0.058843,1.08132,79.235741,16.411504,1.824295,0.607201,0.039246,1.016176,73.232362,13.077694,1.645443,0.682516,0.183953,1.213518,97.641459,31.749893,2.790099,0.641243,0.108404,1.214796,92.602994,20.875662,1.931607,0.661169,0.129613,1.364416,92.537016,17.885248,1.645443
S36,0.68448,0.079181,1.314468,86.256697,15.861875,1.579169,0.67686,0.153717,1.420526,92.595669,25.631668,2.316115,0.730847,0.302274,1.513105,118.712007,39.724874,2.702134,0.640889,0.031677,1.26664,74.109841,9.475014,1.19315,0.610067,0.017389,0.988752,71.756058,9.306569,1.19315
S37,0.629309,0.081505,1.094467,81.449132,20.118181,2.233063,0.667206,0.121671,1.163284,82.060293,23.196372,2.473547,0.716713,0.248308,1.343262,102.504313,30.658238,2.542256,0.637367,0.050811,1.068414,72.329,13.508314,1.717741,0.627943,0.060155,1.148037,75.634206,12.518895,1.477257
S38,0.661672,0.068631,1.241968,84.565588,18.012935,1.926517,0.689603,0.126605,1.404867,81.682196,17.311133,1.754507,0.770773,0.382432,1.559819,123.262818,43.525526,2.889776,0.680661,0.033594,1.157851,79.25327,11.146278,1.238475,0.669375,0.037387,1.199528,73.184294,10.004128,1.272877
S39,0.668829,0.095047,1.14876,94.644131,20.605227,1.856946,0.677941,0.105782,1.090871,92.786057,24.099037,2.166437,0.752076,0.276104,1.328985,121.48138,32.64099,2.269601,0.673721,0.104135,1.198582,93.477774,17.35901,1.581843,0.650469,0.019214,1.053466,76.982661,5.295736,0.618982
S40,0.599648,0.02483,1.001039,69.347833,8.441293,1.056866,0.648134,0.088024,1.111283,80.914463,19.896359,2.21601,0.716584,0.309829,1.333347,113.015754,39.01541,2.761489,0.661392,0.049761,1.124726,82.52278,11.75508,1.295513,0.649976,0.124718,1.221088,97.738889,20.891859,1.8069
S41,0.647548,0.065937,1.126527,82.146224,15.42811,1.716478,0.648935,0.083937,1.089601,89.254515,18.874529,1.851104,0.728796,0.281174,1.384873,121.11449,31.637049,2.154012,0.683441,0.122312,1.251722,93.326873,20.691976,2.019386,0.664479,0.058202,1.141687,81.43767,13.368336,1.480883
S42,0.62326,0.069165,1.021828,81.577738,17.269625,1.877133,0.602478,0.045426,1.001087,73.833925,12.477816,1.535836,0.705969,0.305168,1.243775,108.135654,38.457338,3.003413,0.684473,0.087365,1.18981,81.184388,14.484642,1.535836,0.632141,0.073454,1.101243,89.246841,17.31058,1.740614
S43,0.645396,0.04546,1.026427,72.010279,12.654236,1.645188,0.630527,0.035214,0.992654,70.706997,11.036468,1.439539,0.745566,0.338892,1.346645,129.58082,40.320812,2.639155,0.695794,0.105208,1.214243,82.17034,18.91966,2.02221,0.698919,0.098334,1.245982,89.234232,17.068824,1.610913
S44,0.595505,0.046448,1.112768,73.367589,11.784703,1.451841,0.650253,0.065496,1.16022,73.269552,12.747875,1.558074,0.678236,0.240725,1.257065,106.457158,37.223796,2.868272,0.649857,0.106375,1.204746,93.330461,20.72238,1.947592,0.607449,0.067235,1.106717,89.788129,17.521246,1.699717
S45,0.631796,0.06436,1.103453,76.960242,14.577504,1.608842,0.667052,0.102254,1.212378,98.810751,18.074986,1.643816,0.703042,0.222038,1.20897,96.800908,32.526581,2.763011,0.648992,0.083795,1.128332,80.65464,16.899832,1.818691,0.623506,0.073079,1.095725,89.465019,17.921097,1.783716
S46,0.619615,0.078572,1.171677,95.432116,18.762279,1.719057,0.620884,0.068637,1.130542,89.820107,17.316868,1.719057,0.715238,0.24076,1.377273,113.305333,31.083357,2.315464,0.636841,0.078618,1.171173,93.468333,18.481617,1.683974,0.623305,0.055942,1.161116,78.907067,14.35588,1.578726
S47,0.559046,0.036106,1.067183,83.15305,11.448256,1.282615,0.544888,0.045365,1.082471,84.6129,14.599824,1.539138,0.661026,0.217087,1.264293,108.080123,33.538552,2.601876,0.632946,0.111432,1.160806,107.636133,22.603342,1.868953,0.617008,0.07037,1.097798,85.75587,17.810026,1.942246
S48,0.626822,0.052249,1.053998,79.205363,11.662327,1.336166,0.621494,0.043711,0.987309,76.813612,12.169385,1.404687,0.698427,0.243109,1.189382,108.03513,33.712485,2.672331,0.647437,0.105258,1.098382,89.006269,20.693436,2.021379,0.650438,0.11439,1.107374,90.839647,21.762368,2.0899
S49,0.655199,0.108284,1.285808,92.018659,23.937677,2.160057,0.624505,0.056027,1.165849,93.400167,16.699717,1.558074,0.706573,0.194287,1.422846,106.63717,26.21813,2.018414,0.63689,0.051163,1.200287,86.651974,14.475921,1.451841,0.694101,0.127364,1.42875,100.287615,18.668555,1.593484
S50,0.597057,0.050969,1.151256,86.051765,12.568846,1.306313,0.653551,0.071911,1.096361,95.696986,18.556701,1.729982,0.687258,0.273502,1.408003,105.442638,31.958763,2.57732,0.61537,0.049647,1.002694,83.552832,16.537212,1.729982,0.641831,0.100208,1.175402,95.586948,20.378478,1.871205
S51,0.640173,0.048758,1.18257,87.891849,12.851519,1.300619,0.636427,0.04574,1.138278,76.714539,13.962317,1.581834,0.731296,0.230127,1.460919,103.853598,28.065242,2.179415,0.654748,0.130435,1.253748,103.299921,27.235658,2.249719,0.660626,0.085359,1.284744,92.913587,17.885264,1.687289
