subject_number,m2_s2_corr,m2_s2_gev,m2_s2_gfp,m2_s2_duration,m2_s2_coverage,m2_s2_occurrence,m1_s2_corr,m1_s2_gev,m1_s2_gfp,m1_s2_duration,m1_s2_coverage,m1_s2_occurrence,m3_s2_corr,m3_s2_gev,m3_s2_gfp,m3_s2_duration,m3_s2_coverage,m3_s2_occurrence,m5_s2_corr,m5_s2_gev,m5_s2_gfp,m5_s2_duration,m5_s2_coverage,m5_s2_occurrence,m4_s2_corr,m4_s2_gev,m4_s2_gfp,m4_s2_duration,m4_s2_coverage,m4_s2_occurrence
S1,0.64304,0.099501,1.170324,97.521073,20.3756,1.87094,0.605396,0.053343,1.108006,77.697027,13.89438,1.659136,0.647295,0.213647,1.254996,113.890972,31.403558,2.400452,0.622593,0.053795,1.110952,84.145039,13.075402,1.37673,0.633924,0.104444,1.16203,91.614391,21.251059,1.941542
S2,0.649433,0.06807,1.299385,101.880194,19.509762,1.638877,0.64892,0.084171,1.409716,104.865834,18.811458,1.353855,0.725855,0.253032,1.697137,127.064165,30.668377,1.959527,0.645084,0.078926,1.461668,103.695187,15.604959,1.318227,0.650073,0.067916,1.340587,115.986977,15.405444,1.175716
S3,0.672121,0.135258,1.275559,90.427206,23.890883,2.261307,0.651419,0.03381,1.116853,69.635103,10.179469,1.363963,0.744254,0.270565,1.445439,98.332755,34.759512,3.086863,0.696352,0.126829,1.333639,82.053386,20.201005,2.153625,0.626478,0.031979,1.082058,74.097317,10.969131,1.328069
S4,0.634274,0.065,1.271346,83.951593,15.640953,1.701645,0.642778,0.041602,1.100772,82.495851,12.960862,1.418037,0.724325,0.276739,1.452712,109.774391,38.372093,3.01333,0.65205,0.057545,1.15324,84.287707,15.470788,1.630743,0.666601,0.11056,1.473442,101.233448,17.555303,1.488939
S5,0.597717,0.071286,1.058339,90.213906,21.565087,2.069225,0.592082,0.05408,1.128564,82.480737,14.416855,1.580135,0.650767,0.141656,1.222594,100.376235,25.733634,2.257336,0.615641,0.097668,1.188782,105.233671,22.287434,1.881114,0.62989,0.09847,1.332708,91.992987,15.99699,1.504891
S6,0.647699,0.106204,1.122048,84.686383,22.739609,2.356806,0.641836,0.076218,1.122633,87.674395,17.326096,1.74975,0.700541,0.264319,1.306448,107.653133,35.723468,2.713898,0.611177,0.049308,1.156811,83.599058,12.155406,1.356949,0.615586,0.046559,1.125736,80.669087,12.055421,1.285531
S7,0.655805,0.078263,1.124467,87.159289,18.491518,1.822515,0.63748,0.059178,1.078525,84.626412,15.701668,1.612225,0.706068,0.15411,1.268393,104.643208,22.557129,1.892612,0.68208,0.090902,1.231152,95.751832,16.486752,1.436983,0.676752,0.170261,1.306535,118.571423,26.762933,1.962709
S8,0.568888,0.032732,1.04002,68.063624,9.549497,1.312145,0.655816,0.108465,1.077445,83.962517,22.131506,2.259805,0.687696,0.21858,1.158169,101.287838,32.657822,2.733635,0.631666,0.09223,1.078835,90.679963,20.717306,2.004665,0.630577,0.068605,1.100203,90.066437,14.943869,1.494387
S9,0.668848,0.19349,1.555804,92.104521,25.154166,2.258712,0.631638,0.083395,1.238248,90.081582,22.257278,2.258712,0.696687,0.168421,1.371569,90.789755,30.015775,2.760648,0.632676,0.046921,1.363132,71.760205,10.913524,1.362398,0.627786,0.039028,1.22355,86.976318,11.659257,1.218988
S10,0.608385,0.056218,1.302536,74.822376,12.740553,1.580278,0.593043,0.030698,1.117729,73.954709,10.942548,1.334457,0.693047,0.307875,1.516975,108.979108,41.480545,3.125439,0.643032,0.076181,1.288668,83.244929,16.912488,1.826099,0.622017,0.072083,1.261711,82.859995,17.923866,1.826099
