subject_number,m1_s1_corr,m1_s1_gev,m1_s1_gfp,m1_s1_duration,m1_s1_coverage,m1_s1_occurrence,m2_s1_corr,m2_s1_gev,m2_s1_gfp,m2_s1_duration,m2_s1_coverage,m2_s1_occurrence,m4_s1_corr,m4_s1_gev,m4_s1_gfp,m4_s1_duration,m4_s1_coverage,m4_s1_occurrence,m3_s1_corr,m3_s1_gev,m3_s1_gfp,m3_s1_duration,m3_s1_coverage,m3_s1_occurrence,m5_s1_corr,m5_s1_gev,m5_s1_gfp,m5_s1_duration,m5_s1_coverage,m5_s1_occurrence
S1,0.596211,0.041837,1.03241,78.865295,12.77527,1.485764,0.63253,0.077573,1.140103,87.287758,16.166037,1.612457,0.63645,0.103229,1.15769,91.1538,20.616419,1.969502,0.697433,0.245472,1.276905,117.850757,33.322584,2.418686,0.63435,0.080503,1.167121,100.473254,17.11969,1.497282
S2,0.631289,0.061646,1.398155,91.906605,15.791967,1.432834,0.694184,0.243708,1.885289,115.432934,27.714096,1.91834,0.638458,0.05679,1.326513,98.290283,17.69136,1.55125,0.704188,0.133161,1.528508,109.989256,24.696855,1.870974,0.624329,0.065059,1.55322,101.682069,14.105722,1.172319
S3,0.650385,0.062057,1.104975,77.697805,15.845626,1.809073,0.671825,0.102925,1.186891,88.282599,20.577048,1.994619,0.652102,0.047538,1.074413,80.755359,12.566101,1.379998,0.717306,0.266665,1.374923,101.807732,32.405603,2.71361,0.680475,0.106405,1.229117,87.469946,18.605622,1.878653
S4,0.641575,0.054708,1.146898,81.845964,14.459026,1.569581,0.658491,0.082852,1.242648,89.507691,17.300793,1.663992,0.666601,0.108615,1.353359,92.67029,18.462047,1.699396,0.731886,0.267831,1.39557,109.557172,35.012273,2.655306,0.65681,0.063126,1.190864,80.902572,14.765861,1.593184
S5,0.595842,0.052633,1.187897,79.95403,13.561803,1.539393,0.627379,0.079477,1.152642,89.104223,21.258769,2.107202,0.626232,0.073517,1.260444,92.681285,16.22672,1.552011,0.68443,0.220734,1.348753,106.646551,32.609903,2.599303,0.633352,0.074672,1.255535,90.667375,16.342805,1.552011
S6,0.646884,0.066485,1.084032,89.985808,17.852202,1.729402,0.655583,0.087998,1.116528,89.129475,21.411192,2.063356,0.61961,0.066408,1.197293,89.967925,14.235962,1.347741,0.703285,0.301381,1.380115,116.221823,36.663327,2.611994,0.602671,0.030154,1.077939,76.36648,9.837317,1.168837
S7,0.623589,0.042564,1.048391,85.531604,13.155301,1.349322,0.647386,0.079288,1.17356,91.331966,17.215,1.619186,0.677207,0.166692,1.292457,107.254571,25.33909,1.99465,0.717717,0.195136,1.325853,102.291308,26.798705,2.205848,0.664249,0.07552,1.168404,93.513868,17.491904,1.548787
S8,0.639924,0.091481,1.174987,86.204359,19.193656,1.958536,0.63217,0.060016,1.096606,80.290845,15.171491,1.683864,0.652731,0.082525,1.179415,89.064791,16.938951,1.624152,0.705857,0.252769,1.323732,102.467572,33.170918,2.746728,0.626087,0.060574,1.105359,83.14008,15.524983,1.624152
S9,0.650627,0.097278,1.447445,91.329551,20.026982,1.895702,0.671229,0.183511,1.629945,98.039996,25.655936,2.186453,0.630971,0.034224,1.348167,77.629149,9.806476,1.081597,0.714987,0.163588,1.437664,103.297655,28.596018,2.326014,0.636283,0.073848,1.493052,91.900805,15.914589,1.477019
S10,0.624755,0.081748,1.252129,83.949502,16.012765,1.654308,0.618668,0.073793,1.195657,83.126781,16.665102,1.7951,0.632787,0.094208,1.246816,84.068928,18.772292,1.971091,0.68038,0.176101,1.298147,92.539994,27.449784,2.534259,0.625441,0.09427,1.205058,87.694982,21.100056,2.076685
