subject_number,m1_s2_corr,m1_s2_gev,m1_s2_gfp,m1_s2_duration,m1_s2_coverage,m1_s2_occurrence,m2_s2_corr,m2_s2_gev,m2_s2_gfp,m2_s2_duration,m2_s2_coverage,m2_s2_occurrence,m4_s2_corr,m4_s2_gev,m4_s2_gfp,m4_s2_duration,m4_s2_coverage,m4_s2_occurrence,m3_s2_corr,m3_s2_gev,m3_s2_gfp,m3_s2_duration,m3_s2_coverage,m3_s2_occurrence,m5_s2_corr,m5_s2_gev,m5_s2_gfp,m5_s2_duration,m5_s2_coverage,m5_s2_occurrence
S1,0.603173,0.052263,1.093079,80.257396,13.487828,1.544944,0.623768,0.107083,1.16486,91.735586,21.044007,1.966292,0.633957,0.093934,1.134591,93.063505,19.775281,1.837547,0.66791,0.217291,1.239229,103.642978,32.485955,2.598315,0.609517,0.050004,1.070555,82.932132,13.206929,1.463015
S2,0.623551,0.091318,1.448934,91.710731,17.813199,1.607942,0.652525,0.13592,1.447148,103.698029,24.706376,1.99245,0.632624,0.055,1.223497,103.752726,17.803878,1.479773,0.712081,0.181206,1.543504,111.557489,25.838926,1.910887,0.623883,0.060065,1.382461,94.702205,13.837621,1.293345
S3,0.637719,0.053826,1.081353,84.627191,14.340548,1.50296,0.66798,0.105936,1.192325,89.007379,19.963929,1.97697,0.644449,0.048699,1.111023,76.974558,12.763596,1.479837,0.746093,0.266785,1.385914,100.490828,30.387532,2.578154,0.6539,0.120653,1.199848,90.159619,22.544395,2.138827
S4,0.630178,0.056509,1.066814,79.611626,15.537175,1.785882,0.629147,0.058055,1.121659,81.095488,14.122568,1.550898,0.662968,0.089355,1.221616,85.542271,16.298524,1.621393,0.723317,0.306279,1.35473,105.064004,37.320237,2.925557,0.665861,0.075046,1.161059,82.552579,16.721496,1.774133
S5,0.606417,0.042407,1.108736,79.120318,12.74712,1.433674,0.60361,0.066626,1.135867,82.705311,18.869158,1.999598,0.633481,0.122226,1.339537,92.73031,20.946728,1.949293,0.663714,0.178506,1.29301,101.268307,30.343579,2.578097,0.629416,0.079726,1.275345,97.857003,17.093415,1.521706
S6,0.623483,0.056041,1.218618,89.310441,16.738746,1.646353,0.647453,0.079794,1.237939,91.018204,20.979949,1.990368,0.632716,0.08211,1.451765,86.929414,15.721447,1.548064,0.707274,0.290576,1.599991,118.540797,36.288579,2.543247,0.596754,0.03197,1.2313,84.086817,10.27128,1.093474
S7,0.632434,0.048144,1.072954,82.339933,13.668796,1.445693,0.631121,0.062618,1.09996,87.867774,16.5835,1.643893,0.667348,0.138851,1.277582,105.80549,24.031152,1.993658,0.712934,0.237726,1.373015,112.548076,29.268293,2.145222,0.629816,0.07029,1.170623,89.00845,16.448258,1.620575
S8,0.647777,0.093219,1.177111,90.526021,20.717363,1.984607,0.61878,0.049738,1.146947,80.446445,12.788615,1.391645,0.625566,0.070241,1.197125,89.772898,15.852655,1.548962,0.701514,0.258276,1.383802,103.296766,31.932814,2.517063,0.62819,0.079257,1.167557,95.915506,18.708553,1.718379
S9,0.64114,0.082476,1.259931,93.827634,21.062573,1.949341,0.661,0.121869,1.382931,84.940294,21.232081,2.118849,0.624838,0.055242,1.339358,86.484334,12.834173,1.307633,0.715024,0.206795,1.446204,97.696931,31.378342,2.687912,0.651649,0.074279,1.415791,79.471443,13.492832,1.525571
S10,0.612713,0.046266,1.023898,77.733801,13.780586,1.591156,0.605616,0.0635,1.079992,80.728417,15.958701,1.767951,0.606472,0.080676,1.197854,84.869691,17.222196,1.756164,0.68421,0.257163,1.351952,104.90936,32.690585,2.545849,0.630691,0.084299,1.101122,84.470342,20.347933,2.1569
S11,0.638666,0.056459,1.516746,85.953045,16.152176,1.640234,0.678538,0.206531,1.810947,113.71941,30.28887,2.159445,0.621787,0.01668,1.334039,79.155132,6.362692,0.731615,0.716763,0.255512,1.856443,117.702377,34.267913,2.40725,0.621439,0.041124,1.422901,94.345284,12.928349,1.180025
S12,0.609691,0.095564,1.567928,89.482743,17.817349,1.705196,0.606493,0.045373,1.266678,86.277475,15.927314,1.548995,0.625792,0.060488,1.303455,96.35134,18.041237,1.614079,0.681138,0.229184,1.651907,105.110424,32.562741,2.564303,0.624898,0.0723,1.455932,93.756262,15.651359,1.431844
S13,0.629377,0.086299,1.191869,87.656354,18.290622,1.853938,0.583894,0.05324,1.145062,81.565597,13.808317,1.478457,0.630484,0.089459,1.185224,90.900497,18.872618,1.748334,0.684411,0.216129,1.329088,103.954937,30.489064,2.51103,0.619161,0.080959,1.170743,93.723326,18.539379,1.748334
S14,0.647093,0.067407,1.149512,83.659704,16.073642,1.698728,0.664881,0.084975,1.14009,87.927076,19.292044,1.916808,0.674128,0.090851,1.215488,80.551004,17.662183,1.974198,0.722078,0.255766,1.439608,101.819672,29.782838,2.513659,0.663684,0.081087,1.182127,86.776566,17.189293,1.790551
S15,0.64503,0.051266,1.180112,73.621738,12.730688,1.561399,0.669277,0.077666,1.156856,78.125361,18.206152,2.124912,0.655544,0.087063,1.198812,83.998147,18.656962,1.925335,0.739369,0.268225,1.437558,103.916676,32.209439,2.664945,0.671215,0.083033,1.210985,81.064405,18.19676,1.972294
S16,0.649234,0.084369,1.616045,98.568526,19.148504,1.562262,0.645273,0.111131,1.799933,97.466831,19.727684,1.676574,0.601956,0.04651,1.583456,87.499561,12.767363,1.244729,0.704436,0.232776,1.86788,129.696271,35.218209,2.22273,0.613742,0.039074,1.436437,90.888268,13.138241,1.206625
S17,0.652076,0.056497,1.412866,82.242669,11.979736,1.328598,0.664814,0.081771,1.384837,81.799109,17.562332,1.912188,0.654922,0.064181,1.342349,86.062011,15.421675,1.564518,0.733236,0.307318,1.627156,109.869821,39.242078,2.930367,0.653006,0.053229,1.241075,89.058692,15.794179,1.502434
S18,0.598734,0.043617,1.103233,78.161582,12.173873,1.397689,0.628413,0.059228,1.114163,84.918888,15.486396,1.630637,0.667564,0.120238,1.270152,100.110733,22.148714,1.88688,0.731555,0.273403,1.405087,113.221144,33.777488,2.434309,0.673315,0.078307,1.209489,90.516118,16.41353,1.525811
S19,0.640618,0.131331,1.351067,94.932131,23.860325,2.103111,0.607137,0.063198,1.234834,84.398828,15.46198,1.609644,0.644213,0.066672,1.205197,103.946745,16.350221,1.398158,0.706882,0.206529,1.413583,105.43407,29.504653,2.291099,0.636929,0.074133,1.296913,91.405497,14.822822,1.421656
S20,0.662427,0.05873,1.029153,81.596697,14.087004,1.545525,0.686075,0.074323,1.061096,85.802752,15.996182,1.67053,0.681037,0.102181,1.135616,89.067992,19.264512,1.886449,0.752276,0.262437,1.302661,104.525414,29.469521,2.341016,0.692924,0.110882,1.127394,89.285178,21.182781,2.113732
