subject_number,m4_s2_corr,m4_s2_gev,m4_s2_gfp,m4_s2_duration,m4_s2_coverage,m4_s2_occurrence,m2_s2_corr,m2_s2_gev,m2_s2_gfp,m2_s2_duration,m2_s2_coverage,m2_s2_occurrence,m5_s2_corr,m5_s2_gev,m5_s2_gfp,m5_s2_duration,m5_s2_coverage,m5_s2_occurrence,m3_s2_corr,m3_s2_gev,m3_s2_gfp,m3_s2_duration,m3_s2_coverage,m3_s2_occurrence,m1_s2_corr,m1_s2_gev,m1_s2_gfp,m1_s2_duration,m1_s2_coverage,m1_s2_occurrence
S1,0.646255,0.096637,1.192387,93.05271,20.019511,1.81172,0.627911,0.103671,1.210972,98.466916,19.935893,1.742039,0.644315,0.076596,1.170355,95.760847,17.051077,1.620096,0.688159,0.229919,1.312826,117.086617,30.896802,2.212389,0.604533,0.04418,1.101926,76.64598,12.096718,1.445892
S2,0.622091,0.045256,1.159928,105.230021,19.598893,1.573306,0.677887,0.323896,1.904688,117.330694,30.532503,2.022822,0.636232,0.030305,1.182342,93.487069,11.770401,1.089212,0.704539,0.094081,1.33975,114.682263,21.244813,1.48686,0.62795,0.079528,1.392704,93.246623,16.853389,1.556017
S3,0.643946,0.046464,1.054266,79.73509,13.331042,1.460983,0.669354,0.113139,1.241597,94.115604,19.869371,1.804744,0.681168,0.123109,1.183638,87.420157,22.722585,2.268821,0.72211,0.243032,1.356768,99.817829,28.855277,2.389137,0.657762,0.061792,1.096251,84.967388,15.221726,1.598487
S4,0.682366,0.084822,1.262629,82.489876,16.100443,1.68812,0.638155,0.070529,1.196231,88.308933,15.748751,1.547443,0.674418,0.083191,1.224446,83.295434,16.99374,1.793627,0.732273,0.285052,1.394432,107.455349,34.859675,2.72561,0.642458,0.06775,1.169723,80.71,16.29739,1.758458
S5,0.60643,0.080859,1.234206,94.225659,18.587167,1.730683,0.602042,0.066752,1.113345,84.435636,19.889832,2.084264,0.637541,0.072304,1.248276,94.681662,15.408665,1.451541,0.663231,0.210175,1.326829,106.924543,32.417746,2.58672,0.603103,0.057076,1.191238,78.691638,13.696591,1.525979
S6,0.615763,0.052951,1.326702,91.600643,12.131268,1.161504,0.651588,0.095303,1.221731,88.3888,22.345133,2.175516,0.615918,0.047111,1.155317,78.968183,13.665192,1.548673,0.700189,0.264751,1.473293,107.457829,35.250737,2.783923,0.63111,0.06587,1.220618,87.160969,16.60767,1.677729
S7,0.670775,0.128853,1.223996,102.106795,23.003617,1.947691,0.628664,0.058078,1.099835,90.641257,15.157206,1.443378,0.664637,0.074746,1.160759,87.176024,15.804118,1.530328,0.73446,0.276996,1.347551,116.27602,33.14552,2.330273,0.631185,0.047763,1.07913,82.446384,12.889538,1.373817
S8,0.625408,0.062666,1.129834,93.912642,15.413967,1.403888,0.635626,0.062612,1.097336,76.3459,14.924406,1.74586,0.642033,0.074918,1.162797,92.36189,16.839453,1.61987,0.702008,0.248222,1.30967,102.255475,32.613391,2.573794,0.638351,0.098073,1.174371,83.737517,20.208783,2.105832
S9,0.643075,0.054007,1.478003,86.055784,13.021869,1.295797,0.674145,0.164032,1.645595,95.539269,25.071003,2.254331,0.657264,0.088762,1.627328,88.636283,17.530531,1.739563,0.724607,0.154969,1.563149,93.700646,25.923033,2.343084,0.649466,0.072204,1.416543,91.665503,18.453564,1.775064
S10,0.610038,0.079782,1.202818,85.499689,18.479648,1.879166,0.612096,0.064909,1.160797,84.696588,14.905687,1.560062,0.633501,0.10591,1.220102,89.706346,22.422351,2.19827,0.682069,0.223925,1.370928,100.005048,31.413984,2.659197,0.607167,0.045068,1.10014,78.081059,12.778329,1.418239
